"name","address","city","state","zipcode","phone","latitude","longitude"
"Dominican Hospital","1555 Soquel Drive","Santa Cruz","CA",95065,"(831) 462-7700",36.9901663,-121.9836669
"John Muir Medical Center-Walnut Creek Campus","2305 Camino Ramon, Suite 108","San Ramon","CA",94583,"(925) 947-3336",37.7754997,-121.96432859999999
"John Muir Medical Center-Walnut Creek Campus","1450 Treat Blvd.","Walnut Creek","CA",94597,"(925) 947-3336",37.9260643,-122.05214009999997
"John Muir Medical Center-Walnut Creek Campus","1601 Ygnacio Valley Road","Walnut Creek","CA",94598,"(925) 939-3000",37.9131683,-122.0411019
"Watsonville Community Hospital","75 Nielson Street","Watsonville","CA",95076,"(831) 724-4741",36.9271746,-121.79300160000003
"San Ramon Regional Medical Center","6001 Norris Canyon Road","San Ramon","CA",94583,"(925) 275-9200",37.775768,-121.958237
"ValleyCare Health System","1119 East Stanley Blvd.","Livermore","CA",94550,"(925) 454-6342",37.678248,-121.78186199999999
"ValleyCare Health System","5565 West Las Positas Blvd.","Pleasanton","CA",94588,"(925) 416-3667",37.692679,-121.87989930000003
"ValleyCare Health System","5725 West Las Positas Blvd.","Pleasanton","CA",94588,"(925) 847-3000",37.688948,-121.88696099999999
"ValleyCare Health System","1111 East Stanley Blvd.","Livermore","CA",94550,"(925) 373-4060",37.6772157,-121.7818044
"ValleyCare Health System","5555 West Las Positas Blvd.","Pleasanton","CA",94588,"(925) 847-3000",37.6944052,-121.88020819999997
"Saint Louise Regional Hospital","9400 No Name Uno","Gilroy","CA",95020,"(408) 848-2000",37.036612,-121.57124010000001
"UCSF-Benioff Children's Hospital","1600 Divisadero Street","San Francisco","CA",94115,"(415) 567-6500",37.7849112,-122.4391139
"UCSF-Benioff Children's Hospital","1975 4th Street","San Francisco","CA",94158,"(800) 444-2559",37.7648334,-122.3903216
"UCSF-Benioff Children's Hospital","505 Parnassus Avenue","San Francisco","CA",94143,"(415) 476-1000",37.7630895,-122.45781440000002
